date,equity,symbol,profit_pct,exit_reason
2025-09-11,10374.556082783378,J,3.7455608278337693,Target Hit
2025-09-11,10665.342230385519,ETR,2.8028779764823146,Target Hit
2025-09-26,10986.35551239867,MO,3.009873242497413,Target Hit
2025-10-15,11657.880227761316,GOOGL,6.112351949696114,Target Hit
2025-10-15,12355.90990157994,GOOG,5.987620906898516,Target Hit
2025-10-15,13233.824868658645,MS,7.105223120528302,Target Hit
2025-10-20,14432.544317077805,GNRC,9.057996915601153,Target Hit
2025-10-21,14767.863565471873,BRX,2.3233550580356677,Target Hit
2025-10-28,15303.623518167733,GS,3.6278771829155856,Target Hit
2025-10-29,17237.926944209405,CNC,12.639512620951212,Target Hit
2025-10-30,20712.260168396595,CHRW,20.155168515517445,Target Hit
2025-10-31,21416.457737843808,JPM,3.3999069330043397,Target Hit
2025-11-06,22318.47308984732,HST,4.211785922046367,Target Hit
2025-11-07,25553.203497839342,LYFT,14.493511249492693,Target Hit
2025-11-24,26498.75873169661,TSN,3.7003393094616186,Target Hit
2025-12-01,24932.34324084789,ZBH,-5.911278738407635,Time Limit
2025-12-01,22927.356720280164,SPGI,-8.041709121358712,Time Limit
2025-12-01,22703.05716866965,RTX,-0.9783053247133041,Time Limit
